Category,Name,Variant Name,Price,URL,SKU
cosmetic,Huntington Beach,,18.00,https://jeffreestarcosmetics.com/products/huntington-beach,JSC-SUM-JS243-LP-LL-N-R-18-REG
cosmetic,Queen Supreme,,18.00,https://jeffreestarcosmetics.com/products/queen-supreme,JSC-JSC-JS036-LP-LL-N-R-00-REG
cosmetic,SKIN FROST: Siberian Gold,,29.00,https://jeffreestarcosmetics.com/products/skin-frost-siberian-gold,JSC-JSC-JS109-FC-SF-N-R-00-REG
cosmetic,SKIN FROST: So Fucking Gold,,29.00,https://jeffreestarcosmetics.com/products/skin-frost-so-fucking-gold,JSC-JSC-JS110-FC-SF-N-R-00-REG
Lip Ammo,LIP AMMO: Androgyny,,18.00,https://jeffreestarcosmetics.com/products/lip-ammo-androgyny,JSC-JSC-JS267-LP-LA-N-R-00-REG
Lip Ammo,LIP AMMO: Celebrity Skin,,18.00,https://jeffreestarcosmetics.com/products/lip-ammo-celebrity-skin,JSC-JSC-JS065-LP-LA-N-R-00-REG
Hoodie,Tie-Dye Tiffany Blue Hoodie,X-Small,45.00,https://jeffreestarcosmetics.com/products/the-tiffany-crystal-wash-hoodie,JSC-JSC-JS146-OW-HD-U-S-TE-001
Hoodie,Tie-Dye Tiffany Blue Hoodie,Small,45.00,https://jeffreestarcosmetics.com/products/the-tiffany-crystal-wash-hoodie,JSC-JSC-JS146-OW-HD-U-S-TE-002
Hoodie,Tie-Dye Tiffany Blue Hoodie,Medium,45.00,https://jeffreestarcosmetics.com/products/the-tiffany-crystal-wash-hoodie,JSC-JSC-JS146-OW-HD-U-S-TE-003
Hoodie,Tie-Dye Tiffany Blue Hoodie,Large,45.00,https://jeffreestarcosmetics.com/products/the-tiffany-crystal-wash-hoodie,JSC-JSC-JS146-OW-HD-U-S-TE-004
Hoodie,Tie-Dye Tiffany Blue Hoodie,X-Large,45.00,https://jeffreestarcosmetics.com/products/the-tiffany-crystal-wash-hoodie,JSC-JSC-JS146-OW-HD-U-S-TE-005
Hoodie,Tie-Dye Tiffany Blue Hoodie,2X-Large,45.00,https://jeffreestarcosmetics.com/products/the-tiffany-crystal-wash-hoodie,JSC-JSC-JS146-OW-HD-U-S-TE-006
Hoodie,Tie-Dye Tiffany Blue Hoodie,3X-Large,45.00,https://jeffreestarcosmetics.com/products/the-tiffany-crystal-wash-hoodie,JSC-JSC-JS146-OW-HD-U-S-TE-007
Hoodie,Tie-Dye Tiffany Blue Hoodie,4X-Large,45.00,https://jeffreestarcosmetics.com/products/the-tiffany-crystal-wash-hoodie,JSC-JSC-JS146-OW-HD-U-S-TE-008
Hoodie,High How Are Ya Orange Hoodie,Small,45.00,https://jeffreestarcosmetics.com/products/high-how-are-ya-orange-hood,JSC-AGC-JS430-OW-HD-U-R-SO-002
Hoodie,High How Are Ya Orange Hoodie,Medium,45.00,https://jeffreestarcosmetics.com/products/high-how-are-ya-orange-hood,JSC-AGC-JS430-OW-HD-U-R-SO-003
Hoodie,High How Are Ya Orange Hoodie,Large,45.00,https://jeffreestarcosmetics.com/products/high-how-are-ya-orange-hood,JSC-AGC-JS430-OW-HD-U-R-SO-004
Hoodie,High How Are Ya Orange Hoodie,X-Large,45.00,https://jeffreestarcosmetics.com/products/high-how-are-ya-orange-hood,JSC-AGC-JS430-OW-HD-U-R-SO-005
Hoodie,High How Are Ya Orange Hoodie,2X-Large,45.00,https://jeffreestarcosmetics.com/products/high-how-are-ya-orange-hood,JSC-AGC-JS430-OW-HD-U-R-SO-006
Hoodie,High How Are Ya Orange Hoodie,3X-Large,45.00,https://jeffreestarcosmetics.com/products/high-how-are-ya-orange-hood,JSC-AGC-JS430-OW-HD-U-R-SO-007
Hoodie,High How Are Ya Yellow Hoodie,Small,45.00,https://jeffreestarcosmetics.com/products/jsc-agc-js430-ow-hd-u-r,JSC-AGC-JS430-OW-HD-U-R-YW-002
Hoodie,High How Are Ya Yellow Hoodie,Medium,45.00,https://jeffreestarcosmetics.com/products/jsc-agc-js430-ow-hd-u-r,JSC-AGC-JS430-OW-HD-U-R-YW-003
